Node,Cluster
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,3
36,3
37,3
38,3
39,3
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,4
56,4
57,4
58,4
59,4
60,1
61,1
62,1
63,1
64,1
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,1
81,1
82,1
83,1
84,1
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,3
96,3
97,3
98,3
99,3
100,2
101,2
102,2
103,2
104,2
105,3
106,3
107,3
108,3
109,3
110,2
111,2
112,2
113,2
114,2
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
